name,street,street2,city,state,zip,revenue,est_labor_rate,est_labor_hours,est_labor_expense,act_start_date,act_comp_date
Biomat,4401 Freidrich Ln. Bldg.1,Suite 100 & 105,Austin,TX,78744,33308.74,25.0,227.0,5675.0,1/8/20,2/6/20
Black Rock Coffee - SMFA,5013 Gattis School Rd ,,Hutto,TX ,78634,5986.82,25.0,30.0,750.0,2/15/20,2/20/20
Firestone Total Car Care - FA,2020 ER US Highway 290,,Dripping Springs,TX,78620,9306.35,25.0,64.0,1600.0,3/5/20,3/13/20
Elder Mitsubishi - FA,924 S Bell Blvd ,,Cedar Park,TX ,78613,17040.13,25.0,106.0,2650.0,4/17/20,5/1/20
Double Creek Reta - SMFA,11118 S 1st Street ,,Austin,TX ,78748,4588.5,25.0,21.0,525.0,5/9/20,5/13/20
Extra Space Storage - SMFA,1350 Old Settlers Blvd ,,Round Rock,TX ,78665,16845.25,25.0,121.0,3025.0,6/23/20,7/9/20
Floor and Décor - FA,9315 South IH 35 Service Rd NB,,Austin,TX ,78748,24714.55,25.0,154.0,3850.0,7/10/20,7/31/20
Harbor Freight - BA,900 N Austin Ave,,Georgetown,TX ,78626,2200.0,25.0,17.0,425.0,8/1/20,8/4/20
Metric Office Building - FA,12601 METRIC BLVD,,Austin,TX ,78727,9122.48,25.0,59.0,1475.0,9/13/20,9/22/20
San Marcos Police Station - FAVE,2300 I-35 ,,San Marcos,TX ,78666,43264.64,25.0,288.0,7200.0,10/11/20,11/17/20
Total Wine - FA,3925 Market Street,,Bee Caves,TX ,78738,14778.0,25.0,75.0,1875.0,11/6/20,11/17/20
Waters at Horseshoe Bay - IPCCTV,1 Horseshoe Bay Blvd.,,Horseshoe Bay,TX ,78657,8103.87,25.0,41.0,1025.0,12/1/20,
Woodspring Suites - FAVE,1201 Louis Henna Boulevard ,,Round Rock,TX ,78664,75970.85,25.0,402.0,10050.0,1/5/21,
