name,street,street2,city,state,zip,revenue,est_labor_rate,est_labor_hours,est_labor_expense,act_start_date,act_comp_date
Biomat,"4401 Freidrich Ln., Bldg. 1",Suite 100 & 105,Austin,TX,78744,33308.74,25,227,5675,1/8/20,2/6/20
Black Rock Coffee - SMFA,5013 Gattis School Rd ,,Hutto,TX ,78634,5986.82,25,30,750,2/15/20,2/20/20
Firestone Total Car Care - FA,2020 ER US Highway 290,,Dripping Springs,TX,78620,9306.35,25,64,1600,3/5/20,3/13/20
Elder Mitsubishi - FA,924 S Bell Blvd ,,Cedar Park,TX ,78613,17040.13,25,106,2650,4/17/20,5/1/20
Double Creek Reta - SMFA,11118 S 1st Street ,,Austin,TX ,78748,4588.5,25,21,525,5/9/20,5/13/20
Extra Space Storage - SMFA,1350 Old Settlers Blvd ,,Round Rock,TX ,78665,16845.25,25,121,3025,6/23/20,7/9/20
Floor and Décor - FA,9315 South IH 35 Service Rd NB,,Austin,TX ,78748,24714.55,25,154,3850,7/10/20,7/31/20
Harbor Freight - BA,900 N Austin Ave,,Georgetown,TX ,78626,2200,25,17,425,8/1/20,8/4/20
Metric Office Building - FA,12601 METRIC BLVD,,Austin,TX ,78727,9122.48,25,59,1475,9/13/20,9/22/20
San Marcos Police Station - FAVE,2300 I-35 ,,San Marcos,TX ,78666,43264.64,25,288,7200,10/11/20,11/17/20
Total Wine - FA,3925 Market Street,,Bee Caves,TX ,78738,14778,25,75,1875,11/6/20,11/17/20
Waters at Horseshoe Bay - IPCCTV,1 Horseshoe Bay Blvd.,,Horseshoe Bay,TX ,78657,8103.87,25,41,1025,12/15/20,
Woodspring Suites - FAVE,1201 Louis Henna Boulevard ,,Round Rock,TX ,78664,"75970.85",25,402,10050,1/5/21,
