city	city_ascii	state_id	lat	lng	population											
New York	New York	NY	40.6943	-73.9249	18713220											
Los Angeles	Los Angeles	CA	34.1139	-118.4068	12750807											
Chicago	Chicago	IL	41.8373	-87.6862	8604203											
Miami	Miami	FL	25.7839	-80.2102	6445545											
Dallas	Dallas	TX	32.7936	-96.7662	5743938											
Philadelphia	Philadelphia	PA	40.0077	-75.1339	5649300											
Houston	Houston	TX	29.7863	-95.3889	5464251											
Atlanta	Atlanta	GA	33.7627	-84.4224	5449398											
Washington	Washington	DC	38.9047	-77.0163	5379184											
Boston	Boston	MA	42.3188	-71.0846	4688346											
Phoenix	Phoenix	AZ	33.5722	-112.0891	4219697											
Seattle	Seattle	WA	47.6211	-122.3244	3789215											
San Francisco	San Francisco	CA	37.7562	-122.443	3592294											
Detroit	Detroit	MI	42.3834	-83.1024	3506126											
San Diego	San Diego	CA	32.8312	-117.1225	3220118											
Minneapolis	Minneapolis	MN	44.9635	-93.2678	2977172											
Tampa	Tampa	FL	27.9942	-82.4451	2908063											
Denver	Denver	CO	39.7621	-104.8759	2876625											
Brooklyn	Brooklyn	NY	40.6501	-73.9496	2559903											
Queens	Queens	NY	40.7498	-73.7976	2230722											
Riverside	Riverside	CA	33.9381	-117.3948	2107852											
Baltimore	Baltimore	MD	39.3051	-76.6144	2106068											
Las Vegas	Las Vegas	NV	36.2333	-115.2654	2104198											
Portland	Portland	OR	45.5372	-122.65	2074775											
San Antonio	San Antonio	TX	29.4658	-98.5253	2049293											
St. Louis	St. Louis	MO	38.6358	-90.2451	2024074											
Sacramento	Sacramento	CA	38.5667	-121.4683	1898019											
Orlando	Orlando	FL	28.4772	-81.3369	1822394											
San Jose	San Jose	CA	37.3019	-121.8486	1798103											
Cleveland	Cleveland	OH	41.4767	-81.6804	1710093											
Pittsburgh	Pittsburgh	PA	40.4396	-79.9762	1703266											
Austin	Austin	TX	30.3004	-97.7522	1687311											
Cincinnati	Cincinnati	OH	39.1413	-84.5061	1662691											
Kansas City	Kansas City	MO	39.1239	-94.5541	1636715											
Manhattan	Manhattan	NY	40.7834	-73.9662	1628706											
Indianapolis	Indianapolis	IN	39.7771	-86.1458	1588961											
Columbus	Columbus	OH	39.9862	-82.985	1562009											
Charlotte	Charlotte	NC	35.208	-80.8304	1512923											
Virginia Beach	Virginia Beach	VA	36.7335	-76.0435	1478868											
Bronx	Bronx	NY	40.8501	-73.8662	1418207											
Milwaukee	Milwaukee	WI	43.0642	-87.9673	1365787											
Providence	Providence	RI	41.823	-71.4187	1203230											
Jacksonville	Jacksonville	FL	30.3322	-81.6749	1181496											
Salt Lake City	Salt Lake City	UT	40.7777	-111.9306	1098526											
Nashville	Nashville	TN	36.1715	-86.7843	1081903											
Richmond	Richmond	VA	37.5295	-77.4756	1075798											
Memphis	Memphis	TN	35.1046	-89.9773	1066967											
Raleigh	Raleigh	NC	35.8325	-78.6435	1038738											
New Orleans	New Orleans	LA	30.0687	-89.9288	1020886											
Louisville	Louisville	KY	38.1663	-85.6485	1005654											
Oklahoma City	Oklahoma City	OK	35.4676	-97.5136	972943											
Bridgeport	Bridgeport	CT	41.1918	-73.1953	924449											
Buffalo	Buffalo	NY	42.9016	-78.8487	914341											
Fort Worth	Fort Worth	TX	32.7811	-97.3473	909585											
Hartford	Hartford	CT	41.7661	-72.6834	905152											
Tucson	Tucson	AZ	32.1545	-110.8782	888486											
Omaha	Omaha	NE	41.2627	-96.0522	847819											
El Paso	El Paso	TX	31.8479	-106.4309	843386											
Honolulu	Honolulu	HI	21.3294	-157.846	820987											
McAllen	McAllen	TX	26.2273	-98.2471	804114											
Albuquerque	Albuquerque	NM	35.1053	-106.6464	761195											
Birmingham	Birmingham	AL	33.5277	-86.7987	739573											
Sarasota	Sarasota	FL	27.3386	-82.5431	722243											
Dayton	Dayton	OH	39.7797	-84.1998	718353											
Rochester	Rochester	NY	43.168	-77.6162	703952											
Fresno	Fresno	CA	36.7831	-119.7941	703498											
Allentown	Allentown	PA	40.5961	-75.4756	683794											
Tulsa	Tulsa	OK	36.1284	-95.9042	671033											
Cape Coral	Cape Coral	FL	26.6446	-81.9956	668382											
Concord	Concord	CA	37.9722	-122.0016	652308											
Colorado Springs	Colorado Springs	CO	38.8674	-104.7606	642413											
Charleston	Charleston	SC	32.8153	-79.9628	628377											
Springfield	Springfield	MA	42.1155	-72.5395	623401											
Grand Rapids	Grand Rapids	MI	42.962	-85.6562	609314											
Mission Viejo	Mission Viejo	CA	33.6095	-117.655	590249											
Albany	Albany	NY	42.6664	-73.7987	586383											
Knoxville	Knoxville	TN	35.9692	-83.9496	586048											
Bakersfield	Bakersfield	CA	35.3529	-119.0359	579295											
Ogden	Ogden	UT	41.2278	-111.9682	578523											
Baton Rouge	Baton Rouge	LA	30.4418	-91.131	570308											
Akron	Akron	OH	41.0798	-81.5219	565208											
New Haven	New Haven	CT	41.3112	-72.9246	564830											
Columbia	Columbia	SC	34.0376	-80.9037	560041											
Mesa	Mesa	AZ	33.4017	-111.718	518012											
Palm Bay	Palm Bay	FL	27.955	-80.6627	507002											
Provo	Provo	UT	40.2457	-111.6457	500617											
Worcester	Worcester	MA	42.2705	-71.8079	498328											
Murrieta	Murrieta	CA	33.572	-117.1909	496046											
Greenville	Greenville	SC	34.8353	-82.3647	484465											
Wichita	Wichita	KS	37.6896	-97.3442	482249											
Toledo	Toledo	OH	41.6639	-83.5822	482111											
Staten Island	Staten Island	NY	40.5834	-74.1496	476143											
Des Moines	Des Moines	IA	41.5725	-93.6105	473957											
Long Beach	Long Beach	CA	33.7981	-118.1675	462628											
Port St. Lucie	Port St. Lucie	FL	27.2796	-80.3883	461152											
Denton	Denton	TX	33.2176	-97.1419	457177											
Madison	Madison	WI	43.0826	-89.3931	447245											
Reno	Reno	NV	39.5497	-119.8483	445020											
Harrisburg	Harrisburg	PA	40.2752	-76.8843	442289											
Little Rock	Little Rock	AR	34.7256	-92.3576	439815											
